Article's,Sentiment
"Article 1's - Body | date published: ['July 12, 2023 at 11:32 AM·2 min read'], title: ['Dow Jones Giant Caterpillar Breaks Out; Tesla Stock, Chipotle Boast Rising Profit Estimates']",0.0
"Dow Jones giant Caterpillar is breaking out past a new buy point, while Tesla stock and Chipotle boast rising profit estimates.",-0.30000001192092896
"Article 2's - Body | date published: ['July 12, 2023 at 5:46 AM·4 min read'], title: [""Tesla Made All Model 3 Vehicles Eligible For The $7,500 IRA Tax Credit. Now It's Backtracking.""]",0.0
"Tesla signaled Wednesday it expects a reduction next year in the $7,500 federal tax credit for all Model 3 vehicle trims. This comes just a month after the global EV giant mysteriously got every Model 3 vehicle eligible for full tax credit under the Inflation Reduction Act (IRA). Tesla stock edged up early Wednesday.",0.0
"Article 3's - Body | date published: ['July 12, 2023 at 10:24 AM·2 min read'], title: ['UPDATE 1-Tesla says Model 3 consumer tax credits likely to be reduced after Dec.31']",-0.20000000298023224
"(Add details on federal battery requirements)

By Hyunjoo Jin and David Shepardson

SAN FRANCISCO, July 12 (Reuters) - Tesla said the $7,500 federal tax credits for its Model 3 electric vehicles are likely to be reduced after Dec. 31, according to its website on late Tuesday.

Tesla did not elaborate on the reasons for the change, but the move comes as U.S. government is set to enforce more stringent rules on batteries next year, in a move to boost domestic manufacturing of the key EV component and reduce the U.S. dependence on China.

Scroll to continue with content

Ad

ADVERTISEMENT

In June, all Tesla Model 3 vehicles started to qualify for the $7,500 consumer tax credits after two of the three versions had been eligible for half the credits. The generous subsidy, which also applies to Model Ys, helped boost Tesla's shares and the automaker post a record quarterly deliveries for the April to June period.

""All new Model 3 vehicles currently qualify for a federal tax credit for eligible buyers. Reductions likely after Dec 31,"" Tesla said on its website.

The EV credit currently requires 50% of the value of battery components to be produced or assembled in North America to qualify for $3,750 of the credit and 40% of the value of critical minerals sourced from the United States or a country with which it has a free trade agreement. Those rise by 10 percentage points annually.

Starting in 2024, the government will also bar vehicles from tax credits with battery components from ""foreign entities of concern"" and beginning in 2025 an eligible vehicle may not contain any critical minerals that were extracted, processed, or recycled by a foreign entity of concern. The Treasury plans to issue a guidance this year on the extent of the restrictions.

Tesla uses batteries from CATL and Panasonic for its Model 3s, which will undergo a major design change later this year. (Reporting by Hyunjoo Jin and David Shepardson; Editing by Aurora Ellis)

TSLA",0.0
"Article 4's - Body | date published: ['July 12, 2023 at 8:41 AM·1 min read'], title: ['Elon Musk Announces New Company xAI as He Seeks to Build ChatGPT Alternative']",0.0
"(Bloomberg) -- Elon Musk, who has hinted for months that he wants to build an alternative to the popular ChatGPT artificial intelligence chatbot, announced the formation of what he’s calling xAI, whose goal is to “understand the true nature of the universe.”

Most Read from Bloomberg

Singapore Minister Faces Most Serious Graft Probe Since 1986

DeSantis Says No Thanks to $377 Million in US Energy Funds

Saudi Arabia’s PIF Wealth Fund Takes $11 Billion Investment Hit

‘Pivotal’ US CPI Report to Show Lowest Core Inflation Since 2021

Poisoned Cough Syrup Killed Kids. Authorities Cut the Investigation Short

Scroll to continue with content

Ad

ADVERTISEMENT

On a website, xAI said its team will be led by Musk and staffed by executives who have previously worked at a broad range of companies at the forefront of artificial intelligence, including Google’s DeepMind, Microsoft Inc. and Tesla Inc., as well as academic institutions such as the University of Toronto.

Musk and Jared Birchall, who operates Musk’s family office, incorporated a business called X.AI in March, according to a Nevada state filing with the Secretary of State. Musk has frequently publicly criticized OpenAI, the highest-profile AI startup and developer of ChatGPT.

In April, the Financial Times reported that Musk was holding discussions with Tesla Inc. and Space Exploration Technologies Corp. investors about helping fund an AI startup, citing unidentified people familiar with the matter. The billionaire has acquired thousands of processors from Nvidia Corp. for the new project, the paper said.

Despite his work around AI, Musk was among a group of researchers and tech industry leaders who earlier this year called for developers to pause the training of powerful AI models.

 

Advertisement

Advertisement

Most Read from Bloomberg Businessweek

Americans Prepare for Tighter Budgets as Student Loan Payments Resume

iQuit: My Hellish Attempt to Leave Apple’s Walled Garden

Private Equity’s Soccer Strategy Hits a Saudi Arabian Snag

Russian Wikipedia’s Top Editor Leaves to Launch a Putin-Friendly Clone

Plugging Methane Leaks From Derelict Oil Wells for Carbon Credit

©2023 Bloomberg L.P.

TSLA",0.0
"Article 5's - Body | date published: ['July 12, 2023 at 10:11 AM'], title: ['Elon Musk’s New xAI Company Joins Chatbot Race']",0.0
"FEATURE Elon Musk announced he has started an artificial intelligence platform called xAI, which says its mission is to “understand the true nature of the universe.” Musk, the CEO of several companies including Tesla (ticker: TSLA), SpaceX, and Twitter, made the announcement in a tweet, which immediately garnered 40,000 likes and 4,447 retweeets.",0.10000000149011612
